Id,Time[ns],Acorn POST: Text
1,620261750.00,ROM   :
2,825833250.00,VRAM  :
3,846953250.00,00 MByte
4,869219850.00,Data  :
5,891344000.00,VRAM-FFFFFFFFF
6,914993500.00,DRAM 0:
7,936110400.00,00 MByte
8,958377050.00,Data  :
9,980501150.00,Data-FFFFFFFFF
10,1004150850.00,DRAM 1:
11,1025267450.00,00 MByte
12,1047534100.00,Data  :
13,1069658200.00,Data-FFFFFFFFF
14,1093307900.00,DRAM 2:
15,1114442700.00,04 MByte
16,1136709050.00,Data  :
17,1158833350.00,Addrs :
18,1180969150.00,Byte  :
19,1203049350.00,DRAM 3:
20,1224183800.00,04 MByte
21,1246450150.00,Data  :
22,1268574450.00,Addrs :
23,1290710250.00,Byte  :
24,1312790100.00,DRAM
25,1333314550.00,08 MByte
26,1355581350.00,IOMD  :
27,1377712450.00,IOMD  :
28,1398825650.00,D4E7 V.3
29,1421096400.00,SRAM  :
30,1516553950.00,IOinit:
31,1538620850.00,Speed :
32,1560689800.00,Speed3E80.1.0
33,1584139150.00,RAM   :
34,1610171600.00,RAM   :18000000
35,1772345900.00,RAM   :18100000
36,2184850550.00,RAM   :1C000000
37,2726888950.00,VIDC  :
38,2748000650.00,Mid0 1
39,2769915600.00,Virq bad 0.00006
40,2794155500.00,Sirq bad00053
41,2817636950.00,ARM ID:
42,2839707850.00,ARM ID41047100
43,2863359650.00,FAIL  :0000C01C
