Id,Time[ns],Acorn POST: Text
1,617691400.00,ROM   :
2,823262900.00,VRAM  :
3,844382900.00,00 MByte
4,866649500.00,Data  :
5,888773650.00,VRAM-F00080000
6,912425250.00,DRAM 0:
7,933542150.00,00 MByte
8,955808800.00,Data  :
9,977932900.00,Data-FFFFFFFFF
10,1001582600.00,DRAM 1:
11,1022699200.00,00 MByte
12,1044965850.00,Data  :
13,1067089950.00,Data-FFFFFFFFF
14,1090739650.00,DRAM 2:
15,1111874450.00,04 MByte
16,1134140800.00,Data  :
17,1156265100.00,Addrs :
18,1178400900.00,Byte  :
19,1200481100.00,DRAM 3:
20,1221615550.00,04 MByte
21,1243881900.00,Data  :
22,1266006200.00,Addrs :
23,1288142000.00,Byte  :
24,1310221850.00,DRAM
25,1330746300.00,08 MByte
26,1353013100.00,IOMD  :
27,1375144200.00,IOMD  :
28,1396257400.00,D4E7 V.3
29,1418528150.00,SRAM  :
30,1441050900.00,SRAM-F
31,1462923150.00,IOinit:
32,1484990050.00,Speed :
33,1507059000.00,Speed3E80.1.0
34,1530508350.00,RAM   :
35,1556540750.00,RAM   :18000000
36,1718715150.00,RAM   :18100000
37,2131219850.00,RAM   :1C000000
38,2673258150.00,VIDC  :
39,2694369850.00,Mid0 0
40,2837159850.00,ARM ID:
41,2859230750.00,ARM ID41047100
42,2882882550.00,FAIL  :0001001C
