Id,Time[ns],1:I²C: Address/Data
1,15839675000.00,Start
2,15839722500.00,Stop
3,15839745000.00,Start
4,15839787500.00,Stop
5,15839810000.00,Start
6,15839855000.00,Stop
7,15839877500.00,Start
8,15839920000.00,Stop
9,15839942500.00,Start
10,15839985000.00,Stop
11,15840007500.00,Start
12,15840052500.00,Stop
13,15840075000.00,Start
14,15840117500.00,Stop
15,15840142500.00,Start
16,15840185000.00,Stop
17,15840207500.00,Start
18,15840252500.00,Stop
19,15840275000.00,Start
20,15840317500.00,Stop
21,15840340000.00,Start
22,15840385000.00,Stop
23,15840407500.00,Start
24,15840450000.00,Stop
25,15840475000.00,Start
26,15840517500.00,Stop
27,15840540000.00,Start
28,15840582500.00,Stop
29,15840607500.00,Start
30,15840650000.00,Stop
31,15840672500.00,Start
32,15840715000.00,Stop
33,15848510000.00,Start
34,15848557500.00,Address write: A0
35,15848802500.00,Write
36,15848840000.00,ACK
37,15848880000.00,Data write: 40
38,15849157500.00,ACK
39,15849192500.00,Start repeat
40,15849235000.00,Address read: A1
41,15849480000.00,Read
42,15849515000.00,ACK
43,15849555000.00,Data read: 00
44,15849757500.00,NACK
45,15849792500.00,Stop
46,16231675000.00,Start
47,16231725000.00,Stop
48,16231747500.00,Start
49,16231790000.00,Stop
50,16231812500.00,Start
51,16231857500.00,Stop
52,16231880000.00,Start
53,16231922500.00,Stop
54,16231945000.00,Start
55,16231990000.00,Stop
56,16232012500.00,Start
57,16232055000.00,Stop
58,16232077500.00,Start
59,16232120000.00,Stop
60,16232145000.00,Start
61,16232187500.00,Stop
62,16232210000.00,Start
63,16232252500.00,Stop
64,16232275000.00,Start
65,16232320000.00,Stop
66,16232342500.00,Start
67,16232385000.00,Stop
68,16232407500.00,Start
69,16232452500.00,Stop
70,16232475000.00,Start
71,16232517500.00,Stop
72,16232540000.00,Start
73,16232582500.00,Stop
74,16232605000.00,Start
75,16232650000.00,Stop
76,16232672500.00,Start
77,16232715000.00,Stop
78,16232740000.00,Start
79,16232790000.00,Address write: A0
80,16233027500.00,Write
81,16233065000.00,ACK
82,16233100000.00,Data write: 10
83,16233370000.00,ACK
84,16233405000.00,Start repeat
85,16233450000.00,Address read: A1
86,16233685000.00,Read
87,16233720000.00,ACK
88,16233757500.00,Data read: 00
89,16233957500.00,ACK
90,16233992500.00,Data read: 76
91,16234185000.00,ACK
92,16234220000.00,Data read: 02
93,16234415000.00,ACK
94,16234447500.00,Data read: 51
95,16234642500.00,ACK
96,16234677500.00,Data read: 00
