Id,Time[ns],Acorn POST: Text
1,828027150.00,ROM   :
2,1568563750.00,VRAM  :
3,1636115150.00,01 MByte
4,1707346900.00,Data  :
5,1778256450.00,Addrs :
6,1849013350.00,Byte  :
7,1919669950.00,DRAM 0:
8,1987208300.00,00 MByte
9,2058439850.00,Data  :
10,2129194300.00,Data-F00000002
11,2204874850.00,DRAM 1:
12,2272410350.00,00 MByte
13,2343639700.00,Data  :
14,2414394200.00,Data-FFFFFFFFF
15,2490072550.00,DRAM 2:
16,2557609850.00,00 MByte
17,2628841350.00,Data  :
18,2699595800.00,Data-FFFFFFFFF
19,2775274100.00,DRAM 3:
20,2842811300.00,00 MByte
21,2914044900.00,Data  :
22,2984799200.00,Data-FFFFFFFFF
23,3060476700.00,DRAM
24,3126109000.00,Failed
25,3196076000.00,IOMD  :
26,3266841250.00,IOMD  :
27,3334371300.00,D4E7 V.3
28,3405618650.00,SRAM  :
29,3477429950.00,SRAM-F
30,3547398250.00,IOinit:
31,3617994450.00,Speed :
32,3688595600.00,Speed3E80.1.0
33,3763628050.00,RAM   :
