Id,Time[ns],1:I²C: Address/Data
1,3905455000.00,Start
2,3905570000.00,Address write: A0
3,3906357500.00,Write
4,3906470000.00,ACK
5,3906587500.00,Data write: 40
6,3907490000.00,ACK
7,3907602500.00,Start repeat
8,3907717500.00,Address read: A1
9,3908507500.00,Read
10,3908620000.00,ACK
11,3908735000.00,Data read: 00
12,3909377500.00,ACK
13,3909490000.00,Data read: FE
14,3910132500.00,ACK
15,3910245000.00,Data read: 00
16,3910887500.00,ACK
17,3911000000.00,Data read: EB
18,3911642500.00,ACK
19,3911755000.00,Data read: 00
20,3912397500.00,ACK
21,3912510000.00,Data read: 08
22,3913152500.00,ACK
23,3913265000.00,Data read: 00
24,3913907500.00,ACK
25,3914020000.00,Data read: 00
26,3914662500.00,ACK
27,3914775000.00,Data read: 00
28,3915417500.00,ACK
29,3915530000.00,Data read: 00
30,3916172500.00,ACK
31,3916285000.00,Data read: 10
32,3916927500.00,ACK
33,3917042500.00,Data read: 54
34,3917682500.00,ACK
35,3917795000.00,Data read: 20
36,3918437500.00,ACK
37,3918552500.00,Data read: 08
38,3919195000.00,ACK
39,3919307500.00,Data read: 0A
40,3919950000.00,ACK
41,3920062500.00,Data read: 2C
42,3920705000.00,ACK
43,3920817500.00,Data read: 90
44,3921460000.00,ACK
45,3921572500.00,Data read: 02
46,3922215000.00,ACK
47,3922327500.00,Data read: 00
48,3922970000.00,ACK
49,3923082500.00,Data read: 00
50,3923725000.00,ACK
51,3923837500.00,Data read: 00
52,3924480000.00,ACK
53,3924592500.00,Data read: 00
54,3925235000.00,ACK
55,3925347500.00,Data read: 00
56,3925990000.00,ACK
57,3926105000.00,Data read: 00
58,3926745000.00,ACK
59,3926860000.00,Data read: 00
60,3927500000.00,ACK
61,3927615000.00,Data read: 00
62,3928257500.00,ACK
63,3928370000.00,Data read: 00
64,3929012500.00,ACK
65,3929125000.00,Data read: 00
66,3929767500.00,ACK
67,3929880000.00,Data read: 03
68,3930522500.00,ACK
69,3930635000.00,Data read: 00
70,3931277500.00,ACK
71,3931390000.00,Data read: 00
72,3932032500.00,ACK
73,3932145000.00,Data read: 00
74,3932787500.00,ACK
75,3932900000.00,Data read: 00
76,3933542500.00,ACK
77,3933655000.00,Data read: 00
78,3934297500.00,ACK
79,3934410000.00,Data read: 00
80,3935052500.00,ACK
81,3935167500.00,Data read: 00
82,3935807500.00,ACK
83,3935922500.00,Data read: 00
