Id,Time[ns],Parallel: Items
1,201554950.00,02
2,201555950.00,02
3,201556950.00,01
4,201557950.00,00
5,201558950.00,00
6,201559950.00,00
7,201560950.00,7F
8,201561950.00,00
9,201562950.00,00
10,201563950.00,00
11,201564950.00,F8
12,201565950.00,6A
13,201566950.00,EA
14,201567950.00,74
15,201568950.00,34
16,201569950.00,CA
17,201570950.00,F3
18,201571950.00,37
19,201572950.00,02
20,201573950.00,15
21,201574950.00,25
22,201575950.00,24
23,201576950.00,35
24,201577950.00,25
25,201578950.00,25
26,201579950.00,03
27,201580950.00,85
28,201581950.00,00
29,201583450.00,25
30,215575950.00,00
31,296242600.00,05
32,296243300.00,24
33,296244100.00,01
34,296244800.00,02
35,296245500.00,03
36,296246200.00,04
37,296246900.00,05
38,296247600.00,06
39,296248300.00,07
40,296248850.00,04
41,296249250.00,08
42,299892200.00,02
43,299893300.00,02
44,299894400.00,01
45,299895500.00,00
46,299896600.00,00
47,299897700.00,00
48,299898800.00,7F
49,299899900.00,00
50,299901000.00,00
51,299902100.00,00
52,299903200.00,10
53,299904300.00,54
54,299905400.00,80
55,299906500.00,80
56,299907600.00,00
57,299908700.00,00
58,299909800.00,80
59,299910900.00,0B
60,299912000.00,01
61,299913100.00,21
62,299914200.00,21
63,299915300.00,20
64,299916400.00,01
65,299917500.00,21
66,299918600.00,21
67,299919700.00,03
68,299920800.00,85
69,299921900.00,00
70,299923450.00,C0
71,299954500.00,00
72,299982700.00,00
73,299983700.00,00
74,299984700.00,00
75,299985700.00,00
76,299986700.00,00
77,299987700.00,00
78,299988700.00,00
79,299989700.00,00
80,299990700.00,F8
81,299991700.00,44
82,299992700.00,98
83,299993700.00,F2
84,299994700.00,72
85,299995700.00,D8
86,299996700.00,F3
87,299997700.00,37
88,299998700.00,02
89,299999700.00,15
90,300000700.00,25
91,300001700.00,25
92,300002700.00,35
93,300003700.00,25
94,300004700.00,25
95,300005700.00,01
96,300006700.00,03
97,300007700.00,05
98,300008700.00,00
99,915434800.00,03
100,915436200.00,03
101,915437000.00,03
102,915441100.00,03
103,915441600.00,03
104,915443200.00,03
105,915443700.00,03
106,915445300.00,03
107,915445800.00,03
108,915447450.00,03
109,915447950.00,03
110,915449600.00,03
111,915450100.00,03
112,915451750.00,03
113,915452250.00,03
114,915453900.00,03
115,915454400.00,03
116,915456000.00,03
117,915456500.00,03
118,915458100.00,03
119,915458600.00,03
120,915460200.00,03
121,915460700.00,03
122,915462250.00,03
123,915462750.00,03
124,915464400.00,03
125,915464900.00,03
126,915466500.00,03
127,915467000.00,03
128,915468600.00,03
129,915469100.00,03
130,915470650.00,03
131,915471150.00,03
132,915472750.00,03
133,915473250.00,03
134,915474850.00,03
135,915475350.00,03
136,915476950.00,03
137,915477450.00,03
138,915479050.00,03
139,915479550.00,03
140,915481150.00,03
141,915481650.00,03
142,915483250.00,03
143,915483750.00,03
144,915485350.00,03
145,915485850.00,03
146,915487450.00,03
147,915487950.00,03
148,915489550.00,03
149,915490050.00,03
150,915491650.00,03
151,915492150.00,03
152,915493700.00,03
153,915494200.00,03
154,915495800.00,03
155,915496300.00,03
156,915497900.00,03
157,915498400.00,03
158,915500000.00,03
159,915500500.00,03
160,915502050.00,03
161,915502550.00,03
162,915504150.00,03
163,915504650.00,03
164,915506250.00,03
165,915506750.00,03
166,915508350.00,03
167,915508850.00,03
168,915510450.00,03
169,915510950.00,03
170,915512550.00,03
171,915513050.00,03
172,915514650.00,03
173,915515150.00,03
174,915516750.00,03
175,915517250.00,03
176,915518850.00,03
177,915519350.00,03
178,915520950.00,03
179,915521450.00,03
180,915523050.00,03
181,915523550.00,03
182,915525100.00,03
183,915525600.00,03
184,915527200.00,03
185,915527700.00,03
186,915529300.00,03
187,915529800.00,03
188,915531400.00,03
189,915531900.00,03
190,915533450.00,03
191,915533950.00,03
192,915535550.00,03
193,915536050.00,03
194,915537650.00,03
195,915538150.00,03
196,915539750.00,03
197,915540250.00,03
198,915541850.00,03
199,915542350.00,03
200,915543950.00,03
201,915544450.00,03
202,915546050.00,03
203,915546550.00,03
204,915548150.00,03
205,915548650.00,03
206,915550250.00,03
207,915550750.00,03
208,915552350.00,03
209,915552850.00,03
210,915554450.00,03
211,915554950.00,03
212,915556500.00,03
213,915557050.00,03
214,915558650.00,03
215,915559150.00,03
216,915560750.00,03
217,915561250.00,03
218,915562850.00,03
219,915563350.00,03
220,915564900.00,03
221,915565400.00,03
222,915567000.00,03
223,915567500.00,03
224,915569100.00,03
225,915569600.00,03
226,915571200.00,03
227,915571700.00,03
228,915573300.00,03
229,915573800.00,03
230,915575400.00,03
231,915575900.00,03
232,915577500.00,03
233,915578000.00,03
234,915579600.00,03
235,915580100.00,03
236,915581700.00,03
237,915582200.00,03
238,915583800.00,03
239,915584300.00,03
240,915585900.00,03
241,915586400.00,03
242,915587950.00,03
243,915588500.00,03
244,915590100.00,03
245,915590600.00,03
246,915592200.00,03
247,915592700.00,03
248,915594300.00,03
249,915594800.00,03
250,915596350.00,03
251,915596850.00,03
252,915598450.00,03
253,915598950.00,03
254,915600550.00,03
255,915601050.00,03
256,915602650.00,03
257,915603150.00,03
258,915604750.00,03
259,915605250.00,03
260,915606850.00,03
261,915607350.00,03
262,915608950.00,03
263,915609450.00,03
264,915611050.00,03
265,915611550.00,03
266,915613150.00,03
267,915613650.00,03
268,915615250.00,03
269,915615750.00,03
270,915617350.00,03
271,915617850.00,03
272,915619400.00,03
273,915619950.00,03
274,915621550.00,03
275,915622050.00,03
276,915623650.00,03
277,915624150.00,03
278,915625750.00,03
279,915626250.00,03
280,915627800.00,03
281,915628300.00,03
282,915629900.00,03
283,915630400.00,03
284,915632000.00,03
285,915632500.00,03
286,915634100.00,03
287,915634600.00,03
288,915636200.00,03
289,915636700.00,03
290,915638300.00,03
291,915638800.00,03
292,915640400.00,03
293,915640900.00,03
294,915642500.00,03
295,915643000.00,03
296,915644600.00,03
297,915645100.00,03
298,915646700.00,03
299,915647200.00,03
300,915648800.00,03
301,915649300.00,03
302,915650850.00,03
303,915651350.00,03
304,915652950.00,03
305,915653450.00,03
306,915655050.00,03
307,915655550.00,03
308,915657150.00,03
309,915657650.00,03
310,915659200.00,03
