Id,Time[ns],Parallel: Items
1,364640.00,02
2,365080.00,02
3,365520.00,01
4,365960.00,00
5,366400.00,00
6,366840.00,00
7,367280.00,7F
8,367720.00,00
9,368160.00,00
10,368600.00,00
11,369040.00,10
12,369480.00,54
13,369920.00,80
14,370360.00,80
15,370800.00,00
16,371240.00,00
17,371680.00,80
18,372120.00,0B
19,372560.00,01
20,373000.00,21
21,373440.00,21
22,373880.00,20
23,374320.00,01
24,374760.00,21
25,375200.00,21
26,375640.00,03
27,376080.00,85
28,376520.00,00
29,377140.00,C0
30,389560.00,00
31,400840.00,00
32,401240.00,00
33,401640.00,00
34,402040.00,00
35,402440.00,00
36,402840.00,00
37,403240.00,00
38,403640.00,00
39,404040.00,F8
40,404440.00,44
41,404840.00,98
42,405240.00,F2
43,405640.00,72
44,406040.00,D8
45,406440.00,F3
46,406840.00,37
47,407240.00,02
48,407640.00,15
49,408040.00,25
50,408440.00,25
51,408840.00,35
52,409240.00,25
53,409640.00,25
54,410040.00,01
55,410440.00,03
56,410840.00,05
57,411240.00,00
