Id,Time[ns],Parallel: Items
1,614401250.00,E0000002
2,614402250.00,E0000002
3,614403250.00,B0000001
4,614404250.00,10000000
5,614405250.00,00000000
6,614406250.00,00000000
7,614407250.00,4000003F
8,614408250.00,50000000
9,614409250.00,60000000
10,614410250.00,70000000
11,614411250.00,80000010
12,614412250.00,80000014
13,614413250.00,80000000
14,614414250.00,80000000
15,614415250.00,80000000
16,614416250.00,80000000
17,614417250.00,80000000
18,614418250.00,9000000B
19,614419250.00,90000001
20,614420250.00,90000021
21,614421250.00,90000021
22,614422250.00,90000020
23,614423250.00,90000001
24,614424250.00,90000021
25,614425250.00,90000021
26,614426250.00,C0000003
27,614427250.00,D0000005
28,614428250.00,F0000000
29,614429700.00,40000000
30,872336500.00,40000000
31,1403358000.00,E0000002
32,1403359000.00,E0000002
33,1403360000.00,B0000001
34,1403361000.00,10000000
35,1403362000.00,00000000
36,1403363000.00,00000000
37,1403364000.00,4000003F
38,1403365000.00,50000000
39,1403366000.00,60000000
40,1403367000.00,70000000
41,1403368000.00,80000038
42,1403369000.00,8000002A
43,1403370000.00,8000002A
44,1403371000.00,80000034
45,1403372000.00,80000034
46,1403373000.00,8000000A
47,1403374000.00,80000033
48,1403375000.00,90000037
49,1403376000.00,90000002
50,1403377000.00,90000015
51,1403378000.00,90000025
52,1403379000.00,90000024
53,1403380000.00,90000035
54,1403381000.00,90000025
55,1403382000.00,90000025
56,1403383000.00,C0000003
57,1403384000.00,D0000005
58,1403385000.00,F0000000
59,1403386500.00,90000025
60,1417475000.00,E0000000
61,1499313050.00,B0000005
62,1499313750.00,90000024
63,1499314550.00,A0000001
64,1499315250.00,A0000002
65,1499315950.00,A0000003
66,1499316650.00,A0000004
67,1499317350.00,A0000005
68,1499318050.00,A0000006
69,1499318750.00,A0000007
70,1499319300.00,A0000004
71,1499319700.00,B0000008
72,1502963900.00,E0000002
73,1502965000.00,E0000002
74,1502966100.00,B0000001
75,1502967200.00,10000000
76,1502968300.00,00000000
77,1502969400.00,00000000
78,1502970500.00,4000003F
79,1502971600.00,50000000
80,1502972700.00,60000000
81,1502973800.00,70000000
82,1502974900.00,80000010
83,1502976000.00,80000014
84,1502977100.00,80000000
85,1502978200.00,80000000
86,1502979300.00,80000000
87,1502980400.00,80000000
88,1502981500.00,80000000
89,1502982600.00,9000000B
90,1502983700.00,90000001
91,1502984800.00,90000021
92,1502985900.00,90000021
93,1502987000.00,90000020
94,1502988100.00,90000001
95,1502989200.00,90000021
96,1502990300.00,90000021
97,1502991400.00,C0000003
98,1502992500.00,D0000005
99,1502993600.00,F0000000
100,1502995150.00,40000000
101,1503026200.00,40000000
102,1503054400.00,E0000000
103,1503055400.00,10000000
104,1503056400.00,00000000
105,1503057400.00,00000000
106,1503058400.00,40000000
107,1503059400.00,50000000
108,1503060400.00,60000000
109,1503061400.00,70000000
110,1503062400.00,80000038
111,1503063400.00,80000004
112,1503064400.00,80000018
113,1503065400.00,80000032
114,1503066400.00,80000032
115,1503067400.00,80000018
116,1503068400.00,80000033
117,1503069400.00,90000037
118,1503070400.00,90000002
119,1503071400.00,90000015
120,1503072400.00,90000025
121,1503073400.00,90000025
122,1503074400.00,90000035
123,1503075400.00,90000025
124,1503076400.00,90000025
125,1503077400.00,B0000001
126,1503078400.00,C0000003
127,1503079400.00,D0000005
128,1503080400.00,F0000000
129,2118423100.00,C0000003
130,2118424500.00,C0000003
131,2118425300.00,C0000003
132,2118429400.00,C0000003
133,2118429900.00,C0000003
134,2118431500.00,C0000003
135,2118432000.00,C0000003
136,2118433600.00,C0000003
137,2118434100.00,C0000003
138,2118435700.00,C0000003
139,2118436200.00,C0000003
140,2118437800.00,C0000003
141,2118438300.00,C0000003
142,2118439950.00,C0000003
143,2118440450.00,C0000003
144,2118442100.00,C0000003
145,2118442600.00,C0000003
146,2118444250.00,C0000003
147,2118444750.00,C0000003
148,2118446300.00,C0000003
149,2118446800.00,C0000003
150,2118448400.00,C0000003
151,2118448900.00,C0000003
152,2118450500.00,C0000003
153,2118451000.00,C0000003
154,2118452600.00,C0000003
155,2118453100.00,C0000003
156,2118454700.00,C0000003
157,2118455200.00,C0000003
158,2118456850.00,C0000003
159,2118457350.00,C0000003
160,2118459000.00,C0000003
161,2118459500.00,C0000003
162,2118461150.00,C0000003
163,2118461650.00,C0000003
164,2118463250.00,C0000003
165,2118463750.00,C0000003
166,2118465350.00,C0000003
167,2118465850.00,C0000003
168,2118467450.00,C0000003
169,2118467950.00,C0000003
170,2118469550.00,C0000003
171,2118470050.00,C0000003
172,2118471700.00,C0000003
173,2118472200.00,C0000003
174,2118473850.00,C0000003
175,2118474350.00,C0000003
176,2118476000.00,C0000003
177,2118476500.00,C0000003
178,2118478100.00,C0000003
179,2118478600.00,C0000003
180,2118480200.00,C0000003
181,2118480700.00,C0000003
182,2118482300.00,C0000003
183,2118482800.00,C0000003
184,2118484400.00,C0000003
185,2118484900.00,C0000003
186,2118486550.00,C0000003
187,2118487050.00,C0000003
188,2118488700.00,C0000003
189,2118489200.00,C0000003
190,2118490850.00,C0000003
191,2118491350.00,C0000003
192,2118493000.00,C0000003
193,2118493500.00,C0000003
194,2118495100.00,C0000003
195,2118495600.00,C0000003
196,2118497200.00,C0000003
197,2118497700.00,C0000003
198,2118499300.00,C0000003
199,2118499800.00,C0000003
200,2118501350.00,C0000003
201,2118501850.00,C0000003
202,2118503500.00,C0000003
203,2118504000.00,C0000003
204,2118505650.00,C0000003
205,2118506150.00,C0000003
206,2118507800.00,C0000003
207,2118508300.00,C0000003
208,2118509900.00,C0000003
209,2118510400.00,C0000003
210,2118512000.00,C0000003
211,2118512500.00,C0000003
212,2118514100.00,C0000003
213,2118514600.00,C0000003
214,2118516200.00,C0000003
215,2118516700.00,C0000003
216,2118518350.00,C0000003
217,2118518850.00,C0000003
218,2118520500.00,C0000003
219,2118521000.00,C0000003
220,2118522650.00,C0000003
221,2118523150.00,C0000003
222,2118524700.00,C0000003
223,2118525200.00,C0000003
224,2118526800.00,C0000003
225,2118527300.00,C0000003
226,2118528900.00,C0000003
227,2118529400.00,C0000003
228,2118531000.00,C0000003
229,2118531500.00,C0000003
230,2118533150.00,C0000003
231,2118533650.00,C0000003
232,2118535300.00,C0000003
233,2118535800.00,C0000003
234,2118537450.00,C0000003
235,2118537950.00,C0000003
236,2118539600.00,C0000003
237,2118540100.00,C0000003
238,2118541700.00,C0000003
239,2118542200.00,C0000003
240,2118543800.00,C0000003
241,2118544300.00,C0000003
242,2118545900.00,C0000003
243,2118546400.00,C0000003
244,2118547950.00,C0000003
245,2118548450.00,C0000003
246,2118550100.00,C0000003
247,2118550600.00,C0000003
248,2118552250.00,C0000003
249,2118552750.00,C0000003
250,2118554400.00,C0000003
251,2118554900.00,C0000003
252,2118556500.00,C0000003
253,2118557000.00,C0000003
254,2118558600.00,C0000003
255,2118559100.00,C0000003
256,2118560700.00,C0000003
257,2118561200.00,C0000003
258,2118562800.00,C0000003
259,2118563300.00,C0000003
260,2118564950.00,C0000003
261,2118565450.00,C0000003
262,2118567100.00,C0000003
263,2118567600.00,C0000003
264,2118569250.00,C0000003
265,2118569750.00,C0000003
266,2118571350.00,C0000003
267,2118571850.00,C0000003
268,2118573450.00,C0000003
269,2118573950.00,C0000003
270,2118575550.00,C0000003
271,2118576050.00,C0000003
272,2118577650.00,C0000003
273,2118578150.00,C0000003
274,2118579700.00,C0000003
275,2118580200.00,C0000003
276,2118581800.00,C0000003
277,2118582300.00,C0000003
278,2118583900.00,C0000003
279,2118584400.00,C0000003
280,2118586000.00,C0000003
281,2118586500.00,C0000003
282,2118588100.00,C0000003
283,2118588600.00,C0000003
284,2118590200.00,C0000003
285,2118590700.00,C0000003
286,2118592300.00,C0000003
287,2118592800.00,C0000003
288,2118594400.00,C0000003
289,2118594900.00,C0000003
290,2118596500.00,C0000003
291,2118597000.00,C0000003
292,2118598600.00,C0000003
293,2118599100.00,C0000003
294,2118600700.00,C0000003
295,2118601200.00,C0000003
296,2118602800.00,C0000003
297,2118603300.00,C0000003
298,2118604900.00,C0000003
299,2118605400.00,C0000003
300,2118607000.00,C0000003
301,2118607500.00,C0000003
302,2118609100.00,C0000003
303,2118609600.00,C0000003
304,2118611150.00,C0000003
305,2118611650.00,C0000003
306,2118613250.00,C0000003
307,2118613750.00,C0000003
308,2118615350.00,C0000003
309,2118615850.00,C0000003
310,2118617450.00,C0000003
311,2118617950.00,C0000003
312,2118619550.00,C0000003
313,2118620050.00,C0000003
314,2118621650.00,C0000003
315,2118622150.00,C0000003
316,2118623750.00,C0000003
317,2118624250.00,C0000003
318,2118625850.00,C0000003
319,2118626350.00,C0000003
320,2118627950.00,C0000003
321,2118628450.00,C0000003
322,2118630050.00,C0000003
323,2118630550.00,C0000003
324,2118632150.00,C0000003
325,2118632650.00,C0000003
326,2118634250.00,C0000003
327,2118634750.00,C0000003
328,2118636350.00,C0000003
329,2118636850.00,C0000003
330,2118638450.00,C0000003
331,2118638950.00,C0000003
332,2118640550.00,C0000003
333,2118641050.00,C0000003
334,2118642600.00,C0000003
335,2118643100.00,C0000003
336,2118644700.00,C0000003
337,2118645200.00,C0000003
338,2118646800.00,C0000003
339,2118647300.00,C0000003
340,2118648900.00,C0000003
341,2118649400.00,C0000003
342,2118651000.00,C0000003
343,2118651500.00,C0000003
344,2118653100.00,C0000003
345,2118653600.00,C0000003
346,2118655200.00,C0000003
347,2118655700.00,C0000003
348,2118657300.00,C0000003
349,2118657800.00,C0000003
350,2118659400.00,C0000003
351,2118659900.00,C0000003
352,2118661500.00,C0000003
353,2118662000.00,C0000003
354,2118663600.00,C0000003
355,2118664100.00,C0000003
356,2118665700.00,C0000003
357,2118666200.00,C0000003
358,2118667800.00,C0000003
359,2118668300.00,C0000003
360,2118669900.00,C0000003
361,2118670400.00,C0000003
362,2118672000.00,C0000003
363,2118672500.00,C0000003
364,2118674050.00,C0000003
365,2118674550.00,C0000003
366,2118676150.00,C0000003
367,2118676650.00,C0000003
368,2118678250.00,C0000003
369,2118678750.00,C0000003
370,2118680350.00,C0000003
371,2118680850.00,C0000003
372,2118682450.00,C0000003
373,2118682950.00,C0000003
374,2118684550.00,C0000003
375,2118685050.00,C0000003
376,2118686650.00,C0000003
377,2118687150.00,C0000003
378,2118688750.00,C0000003
379,2118689250.00,C0000003
380,2118690850.00,C0000003
381,2118691350.00,C0000003
382,2118692950.00,C0000003
383,2118693450.00,C0000003
384,2118695050.00,C0000003
385,2118695550.00,C0000003
386,2118697150.00,C0000003
387,2118697650.00,C0000003
388,2118699250.00,C0000003
389,2118699750.00,C0000003
390,2118701350.00,C0000003
391,2118701850.00,C0000003
392,2118703450.00,C0000003
393,2118703950.00,C0000003
394,2118705500.00,C0000003
395,2118706000.00,C0000003
396,2118707600.00,C0000003
397,2118708100.00,C0000003
398,2118709700.00,C0000003
399,2118710200.00,C0000003
400,2118711800.00,C0000003
401,2118712300.00,C0000003
402,2118713900.00,C0000003
403,2118714400.00,C0000003
404,2118716000.00,C0000003
405,2118716500.00,C0000003
406,2118718100.00,C0000003
407,2118718600.00,C0000003
408,2118720200.00,C0000003
409,2118720700.00,C0000003
410,2118722300.00,C0000003
411,2118722800.00,C0000003
412,2118724400.00,C0000003
413,2118724900.00,C0000003
414,2118726500.00,C0000003
415,2118727000.00,C0000003
416,2118728600.00,C0000003
417,2118729100.00,C0000003
418,2118730700.00,C0000003
419,2118731200.00,C0000003
420,2118732800.00,C0000003
421,2118733300.00,C0000003
422,2118734900.00,C0000003
423,2118735400.00,C0000003
424,2118736950.00,C0000003
425,2118737450.00,C0000003
426,2118739050.00,C0000003
427,2118739550.00,C0000003
428,2118741150.00,C0000003
429,2118741650.00,C0000003
430,2118743250.00,C0000003
431,2118743750.00,C0000003
432,2118745350.00,C0000003
433,2118745850.00,C0000003
434,2118747450.00,C0000003
435,2118747950.00,C0000003
436,2118749550.00,C0000003
437,2118750050.00,C0000003
438,2118751650.00,C0000003
439,2118752150.00,C0000003
440,2118753750.00,C0000003
441,2118754250.00,C0000003
442,2118755850.00,C0000003
443,2118756350.00,C0000003
444,2118757950.00,C0000003
445,2118758450.00,C0000003
446,2118760050.00,C0000003
447,2118760550.00,C0000003
448,2118762150.00,C0000003
449,2118762650.00,C0000003
450,2118764250.00,C0000003
451,2118764750.00,C0000003
452,2118766350.00,C0000003
453,2118766850.00,C0000003
454,2118768400.00,C0000003
455,2118768900.00,C0000003
456,2118770500.00,C0000003
457,2118771000.00,C0000003
458,2118772600.00,C0000003
459,2118773100.00,C0000003
460,2118774700.00,C0000003
461,2118775200.00,C0000003
462,2118776800.00,C0000003
463,2118777300.00,C0000003
464,2118778900.00,C0000003
465,2118779400.00,C0000003
466,2118781000.00,C0000003
467,2118781500.00,C0000003
468,2118783100.00,C0000003
469,2118783600.00,C0000003
470,2118785200.00,C0000003
471,2118785700.00,C0000003
472,2118787300.00,C0000003
473,2118787800.00,C0000003
474,2118789400.00,C0000003
475,2118789900.00,C0000003
476,2118791500.00,C0000003
477,2118792000.00,C0000003
478,2118793600.00,C0000003
479,2118794100.00,C0000003
480,2118795700.00,C0000003
481,2118796200.00,C0000003
482,2118797800.00,C0000003
483,2118798300.00,C0000003
484,2118799850.00,C0000003
485,2118800400.00,C0000003
486,2118802000.00,C0000003
487,2118802500.00,C0000003
488,2118804100.00,C0000003
489,2118804600.00,C0000003
490,2118806200.00,C0000003
491,2118806700.00,C0000003
492,2118808300.00,C0000003
493,2118808800.00,C0000003
494,2118810400.00,C0000003
495,2118810900.00,C0000003
496,2118812500.00,C0000003
497,2118813000.00,C0000003
498,2118814600.00,C0000003
499,2118815100.00,C0000003
500,2118816700.00,C0000003
501,2118817200.00,C0000003
502,2118818800.00,C0000003
503,2118819300.00,C0000003
504,2118820900.00,C0000003
505,2118821400.00,C0000003
506,2118823000.00,C0000003
507,2118823500.00,C0000003
508,2118825100.00,C0000003
509,2118825600.00,C0000003
510,2118827200.00,C0000003
511,2118827700.00,C0000003
512,2118829300.00,C0000003
513,2118829800.00,C0000003
514,2118831350.00,C0000003
515,2118831900.00,C0000003
516,2118833500.00,C0000003
517,2118834000.00,C0000003
518,2118835600.00,C0000003
519,2118836100.00,C0000003
520,2118837700.00,C0000003
521,2118838200.00,C0000003
522,2118839800.00,C0000003
523,2118840300.00,C0000003
524,2118841900.00,C0000003
525,2118842400.00,C0000003
526,2118844000.00,C0000003
527,2118844500.00,C0000003
528,2118846100.00,C0000003
529,2118846600.00,C0000003
530,2118848200.00,C0000003
531,2118848700.00,C0000003
532,2118850300.00,C0000003
533,2118850800.00,C0000003
534,2118852400.00,C0000003
535,2118852900.00,C0000003
536,2118854500.00,C0000003
537,2118855000.00,C0000003
538,2118856600.00,C0000003
539,2118857100.00,C0000003
540,2118858700.00,C0000003
541,2118859200.00,C0000003
542,2118860800.00,C0000003
543,2118861300.00,C0000003
544,2118862850.00,C0000003
545,2118863400.00,C0000003
546,2118865000.00,C0000003
547,2118865500.00,C0000003
548,2118867100.00,C0000003
549,2118867600.00,C0000003
550,2118869200.00,C0000003
551,2118869700.00,C0000003
552,2118871300.00,C0000003
553,2118871800.00,C0000003
554,2118873400.00,C0000003
555,2118873900.00,C0000003
556,2118875500.00,C0000003
557,2118876000.00,C0000003
558,2118877600.00,C0000003
559,2118878100.00,C0000003
560,2118879700.00,C0000003
561,2118880200.00,C0000003
562,2118881800.00,C0000003
563,2118882300.00,C0000003
564,2118883900.00,C0000003
565,2118884400.00,C0000003
566,2118886000.00,C0000003
567,2118886500.00,C0000003
568,2118888100.00,C0000003
569,2118888600.00,C0000003
570,2118890200.00,C0000003
571,2118890700.00,C0000003
572,2118892300.00,C0000003
573,2118892800.00,C0000003
574,2118894350.00,C0000003
575,2118894900.00,C0000003
576,2118896500.00,C0000003
577,2118897000.00,C0000003
578,2118898600.00,C0000003
579,2118899100.00,C0000003
580,2118900700.00,C0000003
581,2118901200.00,C0000003
582,2118902800.00,C0000003
583,2118903300.00,C0000003
584,2118904900.00,C0000003
585,2118905400.00,C0000003
586,2118907000.00,C0000003
587,2118907500.00,C0000003
588,2118909100.00,C0000003
589,2118909600.00,C0000003
590,2118911200.00,C0000003
591,2118911700.00,C0000003
592,2118913300.00,C0000003
593,2118913800.00,C0000003
594,2118915400.00,C0000003
595,2118915900.00,C0000003
596,2118917500.00,C0000003
597,2118918000.00,C0000003
598,2118919600.00,C0000003
599,2118920100.00,C0000003
600,2118921700.00,C0000003
601,2118922200.00,C0000003
602,2118923800.00,C0000003
603,2118924300.00,C0000003
604,2118925850.00,C0000003
605,2118926400.00,C0000003
606,2118928000.00,C0000003
607,2118928500.00,C0000003
608,2118930100.00,C0000003
609,2118930600.00,C0000003
610,2118932200.00,C0000003
611,2118932700.00,C0000003
612,2118934300.00,C0000003
613,2118934800.00,C0000003
614,2118936400.00,C0000003
615,2118936900.00,C0000003
616,2118938500.00,C0000003
617,2118939000.00,C0000003
618,2118940600.00,C0000003
619,2118941100.00,C0000003
620,2118942700.00,C0000003
621,2118943200.00,C0000003
622,2118944800.00,C0000003
623,2118945300.00,C0000003
624,2118946900.00,C0000003
625,2118947400.00,C0000003
626,2118949000.00,C0000003
627,2118949500.00,C0000003
628,2118951100.00,C0000003
629,2118951600.00,C0000003
630,2118953200.00,C0000003
631,2118953700.00,C0000003
632,2118955300.00,C0000003
633,2118955800.00,C0000003
634,2118957350.00,C0000003
635,2118957900.00,C0000003
636,2118959500.00,C0000003
637,2118960000.00,C0000003
638,2118961600.00,C0000003
639,2118962100.00,C0000003
640,2118963700.00,C0000003
641,2118964200.00,C0000003
642,2118966200.00,C0000003
643,2127690200.00,80000018
644,2127691150.00,80000018
645,2127718500.00,90000000
646,2127718750.00,90000000
647,2127726950.00,80000002
648,2127728200.00,8000003C
649,2127729500.00,8000003C
650,2127730500.00,80000002
651,2127731700.00,80000010
652,2127735400.00,9000000B
653,2127736350.00,90000000
654,2127737750.00,90000020
655,2127738900.00,90000020
656,2127740350.00,90000000
657,2127741400.00,90000000
658,2127806700.00,C0000003
659,2127813000.00,0000003F
660,2127813600.00,D0000004
661,2127813900.00,D0000004
662,2127822400.00,E000000C
663,2127828400.00,F0000010
664,2127838600.00,90000000
665,2127838850.00,90000000
666,2127861750.00,10000000
667,2127869150.00,00000000
668,2127871250.00,10000001
669,2127872850.00,0000003F
670,2127874800.00,10000002
671,2127876300.00,00000000
672,2127877800.00,10000003
673,2127879400.00,0000003F
674,2127881050.00,10000004
675,2127883000.00,00000000
676,2127884500.00,10000005
677,2127886100.00,0000003F
678,2127888050.00,10000006
679,2127889650.00,00000000
680,2127891150.00,10000007
681,2127892750.00,0000003F
682,2127894450.00,10000008
683,2127896050.00,0000003F
684,2127897600.00,10000009
685,2127899150.00,00000000
686,2127900850.00,1000000A
687,2127902450.00,0000003F
688,2127904000.00,1000000B
689,2127905600.00,00000000
690,2127907300.00,1000000C
691,2127908900.00,0000003F
692,2127910350.00,1000000D
693,2127911950.00,00000000
694,2127913950.00,1000000E
695,2127915550.00,0000003F
696,2127917100.00,1000000F
697,2127918700.00,00000000
698,2127920500.00,10000010
699,2127922100.00,00000000
700,2127923950.00,10000011
701,2127925550.00,00000000
702,2127927050.00,10000012
703,2127928650.00,00000000
