Id,Time[ns],Acorn POST: Text
1,611299100.00,ROM   :
2,816870600.00,VRAM  :
3,837990600.00,00 MByte
4,860257200.00,Data  :
5,882381350.00,VRAM-FFFFFFFFF
6,906030850.00,DRAM 0:
7,927147750.00,00 MByte
8,949414400.00,Data  :
9,971538500.00,Data-FFFFFFFFF
10,995188200.00,DRAM 1:
11,1016304800.00,00 MByte
12,1038571450.00,Data  :
13,1060695550.00,Data-FFFFFFFFF
14,1084345250.00,DRAM 2:
15,1105480050.00,04 MByte
16,1127746400.00,Data  :
17,1149870700.00,Addrs :
18,1172006500.00,Byte  :
19,1194086700.00,DRAM 3:
20,1215221150.00,04 MByte
21,1237487500.00,Data  :
22,1259611800.00,Addrs :
23,1281747600.00,Byte  :
24,1303827450.00,DRAM
25,1324351900.00,08 MByte
26,1346618700.00,IOMD  :
27,1368749800.00,IOMD  :
28,1389863000.00,D4E7 V.3
29,1412133750.00,SRAM  :
30,1507591300.00,IOinit:
31,1529658200.00,Speed :
32,1551727150.00,Speed3E80.1.0
33,1575176500.00,RAM   :
34,1601208950.00,RAM   :18000000
35,1763383250.00,RAM   :18100000
36,2175887950.00,RAM   :1C000000
37,2717926150.00,VIDC  :
38,2739037850.00,Mid0 1
39,2830434700.00,Virq bad 5.FFFFF
40,2858320250.00,ARM ID:
41,2880391150.00,ARM ID41047100
42,2904042950.00,FAIL  :0000401C
