Id,Time[ns],Acorn POST: Text
1,581141200.00,ROM   :
2,786712700.00,VRAM  :
3,807832700.00,00 MByte
4,830099300.00,Data  :
5,852223450.00,VRAM-F00080000
6,875875050.00,DRAM 0:
7,896991950.00,00 MByte
8,919258600.00,Data  :
9,941382700.00,Data-FFFFFFFFF
10,965032400.00,DRAM 1:
11,986149000.00,00 MByte
12,1008415650.00,Data  :
13,1030539750.00,Data-FFFFFFFFF
14,1054189450.00,DRAM 2:
15,1075324250.00,04 MByte
16,1097590600.00,Data  :
17,1119714900.00,Addrs :
18,1141850700.00,Byte  :
19,1163930900.00,DRAM 3:
20,1185065350.00,04 MByte
21,1207331700.00,Data  :
22,1229456000.00,Addrs :
23,1251591800.00,Byte  :
24,1273671650.00,DRAM
25,1294196100.00,08 MByte
26,1316462900.00,IOMD  :
27,1338594000.00,IOMD  :
28,1359707200.00,D4E7 V.3
29,1381977950.00,SRAM  :
30,1477435500.00,IOinit:
31,1499502400.00,Speed :
32,1521571350.00,Speed3E80.1.0
33,1545020700.00,RAM   :
34,1571053100.00,RAM   :18000000
35,1733227400.00,RAM   :18100000
36,2145732050.00,RAM   :1C000000
37,2687770350.00,VIDC  :
38,2708882050.00,Mid0 0
39,2768789950.00,ARM ID:
40,2790860850.00,ARM ID41047100
41,2814512650.00,PASS  :0000001C
