Id,Time[ns],Acorn POST: Text
1,885281650.00,ROM   :
2,1625820900.00,VRAM  :
3,1693372550.00,01 MByte
4,1764604550.00,Data  :
5,1835514300.00,Addrs :
6,1906271450.00,Byte  :
7,1976928200.00,DRAM 0:
8,2044507650.00,04 MByte
9,2115738350.00,Data  :
10,2186493100.00,Addrs :
11,2257263850.00,Byte  :
12,2327891700.00,DRAM 1:
13,2395469850.00,04 MByte
14,2466703700.00,Data  :
15,2537458400.00,Addrs :
16,2608232950.00,Byte  :
17,2678862350.00,DRAM 2:
18,2746395750.00,00 MByte
19,2817628350.00,Data  :
20,2888384000.00,Data-FFFFFFFFF
21,2964061400.00,DRAM 3:
22,3031596900.00,00 MByte
23,3102825750.00,Data  :
24,3173582800.00,Data-FFFFFFFFF
25,3249263300.00,DRAM
26,3314895600.00,08 MByte
27,3386128100.00,IOMD  :
28,3456890650.00,IOMD  :
29,3524420900.00,D4E7 V.3
30,3595668350.00,SRAM  :
31,3667480700.00,SRAM-F
32,3737448100.00,IOinit:
33,3808044450.00,Speed :
34,3878645700.00,Speed3E80.1.0
35,3953681200.00,RAM   :
36,4033359550.00,RAM   :02000000
37,4303819500.00,RAM   :10000000
38,5074947050.00,RAM   :14000000
39,5846080700.00,VIDC  :
40,5913599700.00,Mid0 1
41,6136880050.00,Virq bad 0.FFFFF
42,6214303150.00,Sirq bad0002C
43,6289415400.00,ARM ID:
44,6360021500.00,ARM ID41047100
45,6435703550.00,FAIL  :0001C09C
