Id,Time[ns],Acorn POST: Text
1,753840900.00,ROM   :
2,1494378650.00,VRAM  :
3,1561930150.00,01 MByte
4,1633162000.00,Data  :
5,1704071650.00,Addrs :
6,1774828600.00,Byte  :
7,1845485250.00,DRAM 0:
8,1913064550.00,04 MByte
9,1984295150.00,Data  :
10,2055049750.00,Addrs :
11,2125820400.00,Byte  :
12,2196448100.00,DRAM 1:
13,2264026100.00,04 MByte
14,2335259800.00,Data  :
15,2406014400.00,Addrs :
16,2476788850.00,Byte  :
17,2547418100.00,DRAM 2:
18,2614951400.00,00 MByte
19,2686183850.00,Data  :
20,2756939350.00,Data-FFFFFFFFF
21,2832616650.00,DRAM 3:
22,2900152000.00,00 MByte
23,2971380750.00,Data  :
24,3042137650.00,Data-FFFFFFFFF
25,3117818000.00,DRAM
26,3183450200.00,08 MByte
27,3254682600.00,IOMD  :
28,3325445000.00,IOMD  :
29,3392975150.00,D4E7 V.3
30,3464222450.00,SRAM  :
31,3536034700.00,SRAM-F
32,3606001950.00,IOinit:
33,3676598200.00,Speed :
34,3747199350.00,Speed3E80.1.0
35,3822234700.00,RAM   :
36,3901912950.00,RAM   :02000000
37,4172372400.00,RAM   :10000000
38,4943498750.00,RAM   :14000000
39,5714631200.00,VIDC  :
40,5782150100.00,Mid0 1
41,5953577150.00,Sirq bad02F2C
42,6028690050.00,ARM ID:
43,6099298050.00,ARM ID41047100
44,6174982050.00,FAIL  :0001809C
