Id,Time[ns],Acorn POST: Text
1,880353050.00,ROM   :
2,1620891150.00,VRAM  :
3,1688442650.00,01 MByte
4,1759674550.00,Data  :
5,1830584200.00,Addrs :
6,1901341200.00,Byte  :
7,1971997900.00,DRAM 0:
8,2039577250.00,04 MByte
9,2110807850.00,Data  :
10,2181562450.00,Addrs :
11,2252333150.00,Byte  :
12,2322960900.00,DRAM 1:
13,2390538900.00,04 MByte
14,2461772650.00,Data  :
15,2532527250.00,Addrs :
16,2603301750.00,Byte  :
17,2673931050.00,DRAM 2:
18,2741469300.00,00 MByte
19,2812702950.00,Data  :
20,2883457500.00,Data-F00000002
21,2959145700.00,DRAM 3:
22,3026681100.00,00 MByte
23,3097909850.00,Data  :
24,3168666800.00,Data-FFFFFFFFF
25,3244347150.00,DRAM
26,3309979400.00,08 MByte
27,3381211800.00,IOMD  :
28,3448946200.00,D4E7 V.3
29,3520191450.00,SRAM  :
30,3592003750.00,SRAM-F
31,3661971050.00,IOinit:
32,3732567300.00,Speed :
33,3803168500.00,Speed3E80.1.0
34,3878203900.00,RAM   :
35,3957884150.00,RAM   :02000000
36,4228341750.00,RAM   :10000000
37,4999464400.00,RAM   :14000000
38,5770601200.00,VIDC  :
39,5838120100.00,Mid0 0
40,6061399200.00,Virq bad 0.FFFFF
41,6138821200.00,Sirq bad0002D
42,6213929350.00,ARM ID:
43,6284536250.00,ARM ID41047100
44,6360219300.00,FAIL  :0001C09C
