Id,Time[ns],Acorn POST: Text
1,826986100.00,ROM   :
2,1567523700.00,VRAM  :
3,1635075200.00,01 MByte
4,1706307050.00,Data  :
5,1777216700.00,Addrs :
6,1847973650.00,Byte  :
7,1918630300.00,DRAM 0:
8,1986166500.00,00 MByte
9,2057400350.00,Data  :
10,2128154900.00,Data-FFFFFFFFF
11,2203833550.00,DRAM 1:
12,2271368800.00,00 MByte
13,2342602600.00,Data  :
14,2413357050.00,Data-FFFFFFFFF
15,2489035600.00,DRAM 2:
16,2556573050.00,00 MByte
17,2627804550.00,Data  :
18,2698558950.00,Data-F00000002
19,2774239400.00,DRAM 3:
20,2841772550.00,00 MByte
21,2913006200.00,Data  :
22,2983760550.00,Data-FFFFFFFFF
23,3059438150.00,DRAM
24,3125070500.00,Failed
25,3195037600.00,IOMD  :
26,3265802850.00,IOMD  :
27,3333332950.00,D4E7 V.3
28,3404580400.00,SRAM  :
29,3476391750.00,SRAM-F
30,3546360050.00,IOinit:
31,3616956350.00,Speed :
32,3687557500.00,Speed3E80.1.0
33,3762590000.00,RAM   :
