Id,Time[ns],Acorn POST: Text
1,689758850.00,ROM   :
2,1430294400.00,VRAM  :
3,1497845700.00,01 MByte
4,1569077400.00,Data  :
5,1639986900.00,Addrs :
6,1710743700.00,Byte  :
7,1781400200.00,DRAM 0:
8,1848938500.00,00 MByte
9,1920169950.00,Data  :
10,1990924400.00,Data-F00000002
11,2066604850.00,DRAM 1:
12,2134140300.00,00 MByte
13,2205369600.00,Data  :
14,2276124050.00,Data-FFFFFFFFF
15,2351802350.00,DRAM 2:
16,2419339550.00,00 MByte
17,2490571050.00,Data  :
18,2561325450.00,Data-F00040000
19,2637009550.00,DRAM 3:
20,2704544900.00,00 MByte
21,2775773550.00,Data  :
22,2846530400.00,Data-F00040000
23,2922213800.00,DRAM
24,2987844400.00,Failed
25,3057812550.00,IOMD  :
26,3128579450.00,IOMD  :
27,3196105750.00,D4E7 V.3
28,3267350950.00,SRAM  :
29,3339162250.00,SRAM-F
30,3409131400.00,IOinit:
31,3479728800.00,Speed :
32,3550330850.00,Speed3E80.1.0
33,3625368000.00,RAM   :
