Id,Time[ns],Acorn POST: Text
1,831986900.00,ROM   :
2,1572524400.00,VRAM  :
3,1640075900.00,01 MByte
4,1711307700.00,Data  :
5,1782217300.00,Addrs :
6,1852974300.00,Byte  :
7,1923630900.00,DRAM 0:
8,1991210200.00,04 MByte
9,2062440750.00,Data  :
10,2133195350.00,Addrs :
11,2203967900.00,Addrs-F00001084
12,2280272450.00,Byte  :
13,2350898200.00,Byte-F0001
14,2424042350.00,DRAM 1:
15,2491618700.00,04 MByte
16,2562850300.00,Data  :
17,2633604800.00,Data-F00000001
18,2709289000.00,DRAM 2:
19,2776825300.00,00 MByte
20,2848057700.00,Data  :
21,2918813150.00,Data-FFFFFFFFF
22,2994490400.00,DRAM 3:
23,3062025750.00,00 MByte
24,3133254450.00,Data  :
25,3204011350.00,Data-FFFFFFFFF
26,3279691650.00,DRAM
27,3345323350.00,Failed
28,3415295200.00,IOMD  :
29,3486058600.00,IOMD  :
30,3553586700.00,D4E7 V.3
31,3624831900.00,SRAM  :
32,3696644150.00,SRAM-F
33,3766611350.00,IOinit:
34,3837207600.00,Speed :
35,3907808700.00,Speed3E80.1.0
36,3982844000.00,RAM   :
