Id,Time[ns],1:I²C: Address/Data
1,2732482500.00,Start
2,2732597500.00,Address write: A0
3,2733385000.00,Write
4,2733497500.00,ACK
5,2733615000.00,Data write: 40
6,2734517500.00,ACK
7,2734630000.00,Start repeat
8,2734745000.00,Address read: A1
9,2735535000.00,Read
10,2735647500.00,ACK
11,2735762500.00,Data read: 00
12,2736405000.00,ACK
13,2736517500.00,Data read: FE
14,2737160000.00,ACK
15,2737272500.00,Data read: 00
16,2737915000.00,ACK
17,2738027500.00,Data read: EB
18,2738670000.00,ACK
19,2738782500.00,Data read: 00
20,2739425000.00,ACK
21,2739537500.00,Data read: 08
22,2740180000.00,ACK
23,2740292500.00,Data read: 00
24,2740935000.00,ACK
25,2741047500.00,Data read: 00
26,2741690000.00,ACK
27,2741802500.00,Data read: 00
28,2742445000.00,ACK
29,2742557500.00,Data read: 00
30,2743200000.00,ACK
31,2743312500.00,Data read: 10
32,2743955000.00,ACK
33,2744067500.00,Data read: 54
34,2744710000.00,ACK
35,2744822500.00,Data read: 20
36,2745465000.00,ACK
37,2745580000.00,Data read: 08
38,2746222500.00,ACK
39,2746335000.00,Data read: 0A
40,2746977500.00,ACK
41,2747090000.00,Data read: 2C
42,2747732500.00,ACK
43,2747845000.00,Data read: 90
44,2748487500.00,ACK
45,2748600000.00,Data read: 02
46,2749242500.00,ACK
47,2749355000.00,Data read: 00
48,2749997500.00,ACK
49,2750110000.00,Data read: 00
50,2750752500.00,ACK
51,2750865000.00,Data read: 00
52,2751507500.00,ACK
53,2751620000.00,Data read: 00
54,2752262500.00,ACK
55,2752375000.00,Data read: 00
56,2753017500.00,ACK
57,2753130000.00,Data read: 00
58,2753772500.00,ACK
59,2753885000.00,Data read: 00
60,2754527500.00,ACK
61,2754642500.00,Data read: 00
62,2755285000.00,ACK
63,2755397500.00,Data read: 00
64,2756037500.00,ACK
65,2756152500.00,Data read: 00
66,2756795000.00,ACK
67,2756907500.00,Data read: 03
68,2757550000.00,ACK
69,2757662500.00,Data read: 00
70,2758305000.00,ACK
71,2758417500.00,Data read: 00
72,2759060000.00,ACK
73,2759172500.00,Data read: 00
74,2759815000.00,ACK
75,2759927500.00,Data read: 00
76,2760570000.00,ACK
77,2760682500.00,Data read: 00
78,2761325000.00,ACK
79,2761437500.00,Data read: 00
80,2762080000.00,ACK
81,2762195000.00,Data read: 00
82,2762835000.00,ACK
83,2762950000.00,Data read: 00
84,2763590000.00,ACK
85,2763702500.00,Data read: 00
86,2764345000.00,ACK
87,2764460000.00,Data read: 00
88,2765102500.00,ACK
89,2765215000.00,Data read: 00
90,2765857500.00,ACK
91,2765970000.00,Data read: 00
92,2766612500.00,ACK
93,2766725000.00,Data read: 00
94,2767367500.00,ACK
95,2767480000.00,Data read: 00
96,2768122500.00,ACK
97,2768235000.00,Data read: 00
98,2768877500.00,ACK
99,2768990000.00,Data read: 00
100,2769632500.00,ACK
101,2769745000.00,Data read: 00
102,2770387500.00,ACK
103,2770500000.00,Data read: 00
104,2771142500.00,ACK
105,2771255000.00,Data read: 00
106,2771897500.00,ACK
107,2772012500.00,Data read: 00
108,2772652500.00,ACK
109,2772767500.00,Data read: 00
110,2773407500.00,ACK
111,2773522500.00,Data read: 00
112,2774165000.00,ACK
113,2774277500.00,Data read: 00
114,2774920000.00,ACK
115,2775032500.00,Data read: 00
