Id,Time[ns],Parallel: Items
1,399760.00,03
2,400320.00,03
3,400640.00,03
4,402280.00,03
5,402480.00,03
6,403120.00,03
7,403320.00,03
8,403960.00,03
9,404160.00,03
10,404800.00,03
11,405000.00,03
12,405620.00,03
13,405820.00,03
14,406460.00,03
15,406660.00,03
16,407300.00,03
17,407500.00,03
18,408140.00,03
19,408340.00,03
20,408980.00,03
21,409180.00,03
22,409820.00,03
23,410020.00,03
24,410660.00,03
25,410860.00,03
26,411500.00,03
27,411700.00,03
28,412340.00,03
29,412540.00,03
30,413180.00,03
31,413380.00,03
32,414020.00,03
33,414220.00,03
34,414860.00,03
35,415060.00,03
36,415700.00,03
37,415900.00,03
38,416540.00,03
39,416740.00,03
40,417380.00,03
41,417580.00,03
42,418200.00,03
43,418400.00,03
44,419040.00,03
45,419240.00,03
46,419880.00,03
47,420080.00,03
48,420720.00,03
49,420920.00,03
50,421560.00,03
51,421760.00,03
52,422400.00,03
53,422600.00,03
54,423240.00,03
55,423440.00,03
56,424080.00,03
57,424280.00,03
58,424920.00,03
59,425120.00,03
60,425760.00,03
61,425960.00,03
62,426600.00,03
63,426800.00,03
64,427440.00,03
65,427640.00,03
66,428280.00,03
67,428480.00,03
68,429120.00,03
69,429320.00,03
70,429960.00,03
71,430160.00,03
72,430780.00,03
73,430980.00,03
74,431620.00,03
75,431820.00,03
76,432460.00,03
77,432660.00,03
78,433300.00,03
79,433500.00,03
80,434140.00,03
81,434340.00,03
82,434980.00,03
83,435180.00,03
84,435820.00,03
85,436020.00,03
86,436660.00,03
87,436860.00,03
88,437500.00,03
89,437700.00,03
90,438340.00,03
91,438540.00,03
92,439180.00,03
93,439380.00,03
94,440020.00,03
95,440220.00,03
96,440860.00,03
97,441060.00,03
98,441700.00,03
99,441900.00,03
100,442540.00,03
101,442740.00,03
102,443360.00,03
103,443560.00,03
104,444200.00,03
105,444400.00,03
106,445040.00,03
107,445240.00,03
108,445880.00,03
109,446080.00,03
110,446720.00,03
111,446920.00,03
112,447560.00,03
113,447760.00,03
114,448400.00,03
115,448600.00,03
116,449240.00,03
117,449440.00,03
118,450080.00,03
119,450280.00,03
120,450920.00,03
121,451120.00,03
122,451760.00,03
123,451960.00,03
124,452600.00,03
125,452800.00,03
126,453440.00,03
127,453640.00,03
128,454280.00,03
129,454480.00,03
130,455120.00,03
131,455320.00,03
132,455940.00,03
133,456140.00,03
134,456780.00,03
135,456980.00,03
136,457620.00,03
137,457820.00,03
138,458460.00,03
139,458660.00,03
140,459300.00,03
141,459500.00,03
142,460140.00,03
143,460340.00,03
144,460980.00,03
145,461180.00,03
146,461820.00,03
147,462020.00,03
148,462660.00,03
149,462860.00,03
150,463500.00,03
151,463700.00,03
152,464340.00,03
153,464540.00,03
154,465180.00,03
155,465380.00,03
156,466020.00,03
157,466220.00,03
158,466860.00,03
159,467060.00,03
160,467700.00,03
161,467900.00,03
162,468520.00,03
163,468720.00,03
164,469360.00,03
165,469560.00,03
166,470200.00,03
167,470400.00,03
168,471040.00,03
169,471240.00,03
170,471880.00,03
171,472080.00,03
172,472720.00,03
173,472920.00,03
174,473560.00,03
175,473760.00,03
176,474400.00,03
177,474600.00,03
178,475240.00,03
179,475440.00,03
180,476080.00,03
181,476280.00,03
182,476920.00,03
183,477120.00,03
184,477760.00,03
185,477960.00,03
186,478600.00,03
187,478800.00,03
188,479440.00,03
189,479640.00,03
190,480280.00,03
191,480480.00,03
192,481100.00,03
193,481300.00,03
194,481940.00,03
195,482140.00,03
196,482780.00,03
197,482980.00,03
