"Symbol";"Value";"Unit";
"te_904514";"Nickel";"";
"te_103887";"Tin";"";
"te_901866";"Signal";"";
"te_103911";"UL 94V-0";"";
"te_103901";"Socket";"";
"te_905755";"None";"";
"te_905423";"Left";"";
"te_905756";"With";"";
"te_902394";"Phosphor Bronze";"";
"te_904238";"Cam-In";"";
"TraceParts.PartVersion";"1.0.1";"";
"te_103899";"45";"";
"SUPPLIER";"TE Connectivity";"";
"te_904947";"1";"";
"REFERENCE";"5822030-3";"";
"te_901806";"Printed Circuit Board";"";
"te_103910_1";"3.05";"";
"TraceParts.PartTitle";"SIMM Sockets";"";
"Part_Number_ProductPage_URL";"https://www.te.com/usa-en/product-5822030-3.html?te_bu=Cor&te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"te_901846";"Board Mount";"";
"DESIGN";"72 ME .050 VERT M/L PB-FREE";"";
"te_904434";"Center";"";
"te_904362";"Through Hole";"";
"TraceParts.PartNumber";"90-01062026-978772";"";
"te_905758_1";"2.45";"";
"te_905572";"None";"";
"te_103902";"Standard";"";
"TRACEPARTS";"TRACEPARTS";"";
"te_103907";"Memory Card";"";
"te_905758_2";".096";"";
"te_103910_2";".12";"";
"te_901868_2";"1";"";
"te_901781_1_2";"-55 – 105";"";
"te_904476";"SIMM";"";
"te_103898";"Tube";"";
"TraceParts.InstanceId";"90-01062026-9787722N3XX9WWY2MK673V115V3T3RA";"";
"te_904322";"Vertical";"";
"te_901870";"No";"";
"te_103892";"LCP (Liquid Crystal Polymer)";"";
"te_903636";"Tin";"";
"te_901781_2_2";"-67 – 221";"";
"te_901869";"72";"";
"te_103888";"200";"";
"te_904269";"Nickel";"";
"te_904268";"Brass";"";
"TraceParts.PartLanguage";"en";"";
"te_103880";"1";"";
"te_901847_1_2";"1.27";"";
"te_901847_2_2";".05";"";
