Id,Time[ns],Acorn POST: Text
1,246178180.00,ROM   :
2,328406780.00,VRAM  :
3,336854780.00,00 MByte
4,345761420.00,Data  :
5,354611080.00,VRAM-FFFFFFFFF
6,364070880.00,DRAM 0:
7,372517640.00,00 MByte
8,381424300.00,Data  :
9,390273940.00,Data-FFFFFFFFF
10,399733820.00,DRAM 1:
11,408180460.00,00 MByte
12,417087120.00,Data  :
13,425936760.00,Data-FFFFFFFFF
14,435396640.00,DRAM 2:
15,443850560.00,04 MByte
16,452757100.00,Data  :
17,461606820.00,Addrs :
18,470461140.00,Byte  :
19,479293220.00,DRAM 3:
20,487747000.00,04 MByte
21,496653540.00,Data  :
22,505503260.00,Addrs :
23,514357580.00,Byte  :
24,523189520.00,DRAM
25,531399300.00,08 MByte
26,540306020.00,IOMD  :
27,549158460.00,IOMD  :
28,557603740.00,D4E7 V.3
29,566512040.00,SRAM  :
30,604078700.00,SRAM-C27
31,613064800.00,IOinit:
32,621891560.00,Speed :
33,630719140.00,Speed3E80.1.0
34,640098880.00,RAM   :
35,650511880.00,RAM   :18000000
36,715381580.00,RAM   :18100000
37,880383400.00,RAM   :1C000000
38,1097198700.00,VIDC  :
39,1105643380.00,Mid0 0
40,1154903200.00,ARM ID:
41,1163731560.00,ARM ID41047100
42,1173192280.00,PASS  :0000011C
