Id,Time[ns],Acorn POST: Text
1,575693050.00,ROM   :
2,781264550.00,VRAM  :
3,802384550.00,00 MByte
4,824651150.00,Data  :
5,846775300.00,VRAM-FFFFFFFFF
6,870424800.00,DRAM 0:
7,891541700.00,00 MByte
8,913808350.00,Data  :
9,935932450.00,Data-FFFFFFFFF
10,959582150.00,DRAM 1:
11,980698750.00,00 MByte
12,1002965400.00,Data  :
13,1025089500.00,Data-FFFFFFFFF
14,1048739200.00,DRAM 2:
15,1069874000.00,04 MByte
16,1092140350.00,Data  :
17,1114264650.00,Addrs :
18,1136400450.00,Byte  :
19,1158480650.00,DRAM 3:
20,1179615100.00,04 MByte
21,1201881450.00,Data  :
22,1224005750.00,Addrs :
23,1246141550.00,Byte  :
24,1268221400.00,DRAM
25,1288745850.00,08 MByte
26,1311012650.00,IOMD  :
27,1333143750.00,IOMD  :
28,1354256950.00,D4E7 V.3
29,1376527700.00,SRAM  :
30,1471985250.00,IOinit:
31,1494052150.00,Speed :
32,1516121100.00,Speed3E80.1.0
33,1539570450.00,RAM   :
34,1565602900.00,RAM   :18000000
35,1727777200.00,RAM   :18100000
36,2140281850.00,RAM   :1C000000
37,2682320200.00,VIDC  :
38,2703431900.00,Mid0 0
39,2821175900.00,Sirq bad0017D
40,2844657350.00,ARM ID:
41,2866728250.00,ARM ID41047100
42,2890380050.00,FAIL  :0000801C
