Id,Time[ns],Parallel: Items
1,202050.00,E0000400
2,83879300.00,B0000005
3,83880000.00,90000004
4,83880800.00,A0000001
5,83881500.00,A0000002
6,83882200.00,A0000003
7,83882900.00,A0000004
8,83883600.00,A0000005
9,83884300.00,A0000006
10,83885000.00,A0000007
11,83885550.00,A0000004
12,83885950.00,B0000000
13,87532650.00,E0000402
14,87533750.00,E0000402
15,87534850.00,B0000001
16,87535950.00,10000000
17,87537050.00,00000000
18,87538150.00,00000000
19,87539250.00,40007F07
20,87540350.00,50000000
21,87541450.00,60000000
22,87542550.00,70000000
23,87543650.00,80000300
24,87544750.00,80000004
25,87545850.00,80000000
26,87546950.00,80000000
27,87548050.00,80000300
28,87549150.00,80000300
29,87550250.00,80000000
30,87551350.00,90000203
31,87552450.00,90000001
32,87553550.00,90000001
33,87554650.00,90000001
34,87555750.00,90000000
35,87556850.00,90000201
36,87557950.00,90000001
37,87559050.00,90000001
38,87560150.00,C0001003
39,87561250.00,D000C305
40,87562350.00,F0003000
41,87563900.00,40000000
42,87594950.00,4000C000
43,87623150.00,E0000400
44,87624150.00,10000000
45,87625150.00,00000000
46,87626150.00,00000000
47,87627150.00,40000000
48,87628150.00,50000000
49,87629150.00,60000000
50,87630150.00,70000000
51,87631150.00,80000300
52,87632150.00,80000004
53,87633150.00,80000000
54,87634150.00,80000002
55,87635150.00,80000302
56,87636150.00,80000300
57,87637150.00,80000003
58,87638150.00,90000107
59,87639150.00,90000002
60,87640150.00,90000005
61,87641150.00,90000005
62,87642150.00,90000105
63,87643150.00,90000105
64,87644150.00,90000005
65,87645150.00,90000005
66,87646150.00,B0000001
67,87647150.00,C0001003
68,87648150.00,D0000305
69,87649150.00,F0003000
70,702996200.00,C0001003
71,702997600.00,C0001003
72,702998400.00,C0001003
73,703002400.00,C0001003
74,703002900.00,C0001003
75,703004500.00,C0001003
76,703005000.00,C0001003
77,703006600.00,C0001003
78,703007100.00,C0001003
79,703008700.00,C0001003
80,703009200.00,C0001003
81,703010750.00,C0001003
82,703011250.00,C0001003
83,703012850.00,C0001003
84,703013350.00,C0001003
85,703014950.00,C0001003
86,703015450.00,C0001003
87,703017050.00,C0001003
88,703017550.00,C0001003
89,703019150.00,C0001003
90,703019650.00,C0001003
91,703021250.00,C0001003
