Id,Time[ns],Parallel: Items
1,401020.00,05
2,401300.00,24
3,401620.00,01
4,401900.00,02
5,402180.00,03
6,402460.00,04
7,402740.00,05
8,403020.00,06
9,403300.00,07
10,403520.00,04
11,403680.00,08
12,1860860.00,02
13,1861300.00,02
14,1861740.00,01
15,1862180.00,00
16,1862620.00,00
17,1863060.00,00
18,1863500.00,7F
19,1863940.00,00
20,1864380.00,00
21,1864820.00,00
22,1865260.00,F8
23,1865700.00,6A
24,1866140.00,EA
25,1866580.00,74
26,1867020.00,34
27,1867460.00,CA
28,1867900.00,F3
29,1868340.00,37
30,1868780.00,02
31,1869220.00,15
32,1869660.00,25
33,1870100.00,24
34,1870540.00,35
35,1870980.00,25
36,1871420.00,25
37,1871860.00,03
38,1872300.00,85
39,1872740.00,00
40,1873360.00,C0
41,1885780.00,F0
